Brand,Avg_Monthly_Sales_2023,Avg_Monthly_Sales_2024,Growth_%
Home Depot,370924.65594291204,390282.843298395,5.218900131152866
Pepsi,625592.6016914559,639652.70188215,2.247485049004556
HarperCollins,376821.722120914,382440.02460223,1.4909709688957842
Bed Bath & Beyond,375353.84000151197,379717.66525287,1.162589745009791
Whirepool,153964.150734266,154774.19040097,0.5261222582275502
Samsung,381367.59586642,383125.294099145,0.4608934402860575
Nestle,373964.948414056,371022.143684095,-0.7869199352616028
Coca-Cola,380005.016700244,376409.80152453505,-0.9460967665447724
Adidas,376217.17749807204,371943.067258755,-1.136075249870525
BlueStar,46051.267286271,45443.363790245,-1.3200581261902298
Nike,375786.67675121303,370431.22543131,-1.4251307061236123
Random House,375493.699681208,368068.13401904004,-1.9775473379372885
Sony,380627.22647373204,372531.30821117,-2.126993998187025
IKEA,372262.153899525,364327.89107995003,-2.131364345384532
Apple,373499.996862013,362228.65205807,-3.0177630250709555
Penguin Books,377145.714557793,360390.35100438003,-4.442676373257689
Mitsubhisi,139324.815805169,130759.58979011001,-6.147667208860012
Zara,385039.515186838,349238.898457185,-9.297907180326922
Unknown,5744.362397199,4915.3648431500005,-14.43149816685009
