,Brand,Total_Transactions,Total_Sales,Avg_Sale_Per_Transaction
0,Pepsi,29490,7535231.42067886,255.49485283811808
1,Samsung,17831,4579926.5468624905,256.8438940792909
2,Coca-Cola,17853,4552869.77005151,255.00335984904993
3,Sony,17779,4551334.88115966,255.9976004109835
4,Zara,17837,4548872.9487827495,254.94586755645625
5,HarperCollins,17835,4533097.2704136,254.15164634334306
6,Bed Bath & Beyond,17664,4512973.73052086,255.53729648009627
7,Adidas,17699,4506057.90949823,254.61240899685558
8,Nike,17604,4498729.21837475,255.58054303062707
9,Penguin Books,17574,4492237.8475866895,255.6267574442986
10,Random House,17574,4491073.26485016,255.540982022687
11,Home Depot,17602,4489812.24602591,254.979296105734
12,Nestle,17559,4481693.77150875,255.24655317352594
13,Apple,17508,4459457.27273627,254.7291949955095
14,IKEA,17463,4451277.3211551495,254.93666551640493
15,Whirepool,7294,1849189.8881446,253.58509106927417
16,Mitsubhisi,6491,1654767.33763191,255.05526774282998
17,BlueStar,2168,551399.4004432,254.42524526818508
18,Unknown,270,67274.35365829,248.5793948693755
